index	Unnamed: 1	Unnamed: 2	baseMean	log2FoldChange	fold_change	regulation	shrunkenlfc	lfcSE	stat	filter	pvalue	padj
SMLT_RS05460		protein_coding	3598.87978028004	-0.585256897141516	1.500306121305611	Downregulated	-0.583632604438888	0.0707220795950668	-8.27544807070889	0	1.27973462189184e-16	5.91344039865857e-16
SMLT_RS05505		protein_coding	164.960077409354	-0.586309588684277	1.501401249428069	Downregulated	-0.579322591510937	0.146341343149062	-4.00645214857066	0	6.16376054581675e-05	0.000118776897398971
SMLT_RS00875		protein_coding	1205.03604926617	-0.589658667700582	1.5048906579090557	Downregulated	-0.582417795423717	0.149302255470084	-3.94942906819472	0	7.83378200973949e-05	0.000149465191377223
SMLT_RS15070		protein_coding	821.454720740874	-0.589855923792517	1.5050964319196267	Downregulated	-0.587204862721471	0.0902746272761148	-6.53401671754764	1	6.40287935994301e-11	2.03170048932097e-10
SMLT_RS01650		protein_coding	1245.6719024704	-0.590197161566492	1.5054524714748798	Downregulated	-0.586775941702036	0.102251811238264	-5.77199713549555	1	7.83374483047732e-09	2.12281564251664e-08
SMLT_RS10010		protein_coding	318.685490005323	-0.590832674143996	1.5061157750191032	Downregulated	-0.585858015728991	0.124473618171769	-4.74664979472734	1	2.06813575321237e-06	4.56884970181776e-06
SMLT_RS16255		protein_coding	6226.57610424197	-0.591124521068188	1.5064204823248075	Downregulated	-0.589659695519293	0.0667021232454069	-8.86215449084512	1	7.84827372686675e-19	4.23024814731238e-18
SMLT_RS07125		protein_coding	117.124525934664	-0.59113521466549	1.5064316483115554	Downregulated	-0.582062461302061	0.165855262491286	-3.56416314915874	0	0.000365018875793073	0.000641276725947751
SMLT_RS13175	modA	protein_coding	1354.66575537988	-0.591531167859081	1.5068451510028926	Downregulated	-0.584362803503163	0.148028614931259	-3.99605960059665	0	6.44055256221019e-05	0.000123833320905946
SMLT_RS16865		protein_coding	212.849771457577	-0.592258949208581	1.5076054852534975	Downregulated	-0.585760542626297	0.138795564685221	-4.26713166628763	1	1.98002309129531e-05	3.9707877183481e-05
SMLT_RS01260		protein_coding	120.140149648358	-0.593978235116898	1.5094031970886108	Downregulated	-0.583300272093485	0.181059588211005	-3.28056769037099	0	0.001035984020332	0.00173093224640029
SMLT_RS13120		protein_coding	41.1356810909772	-0.595484976031438	1.5109804310318384	Downregulated	-0.570375692491364	0.282513835275921	-2.10780819087975	0	0.0350475840687878	0.0478519799720353
SMLT_RS18040		protein_coding	700.079559663784	-0.595821530645771	1.5113329565078035	Downregulated	-0.591695981359568	0.111825553002672	-5.32813399663252	1	9.92269103018317e-08	2.47890693940922e-07
SMLT_RS00670		protein_coding	3139.04595049943	-0.596220647340291	1.5117511194881201	Downregulated	-0.59221781973154	0.109908924564131	-5.42467911231725	1	5.80587458995058e-08	1.48442995279659e-07
SMLT_RS17345		protein_coding	422.919231924931	-0.596222506834593	1.5117530679902809	Downregulated	-0.590534094668113	0.130348057048289	-4.57408050672913	1	4.78315907396409e-06	1.02108246641505e-05
SMLT_RS03970		protein_coding	5576.32924822132	-0.597673902548995	1.513274703487989	Downregulated	-0.596500238853957	0.059422243350459	-10.0580837889955	1	8.46294952884273e-24	6.09442274512116e-23
SMLT_RS19170		protein_coding	94.508301059223	-0.598478678288659	1.5141190860303781	Downregulated	-0.582443671876089	0.222895987406673	-2.68501324430187	0	0.00725269321291576	0.0109171859832013
SMLT_RS17230		protein_coding	523.445077102063	-0.598601787700369	1.5142482957788086	Downregulated	-0.592724454757471	0.13321969476111	-4.49334303590609	1	7.01137054113947e-06	1.47888599103276e-05
SMLT_RS18375	rdgB	protein_coding	670.847517180359	-0.599190866976551	1.5148667178307058	Downregulated	-0.593675276253886	0.129393498496859	-4.63076486792029	1	3.64317409493262e-06	7.8796295880649e-06
SMLT_RS05995	mqo	protein_coding	9359.10832445942	-0.599455686665605	1.5151448108045666	Downregulated	-0.593505918641387	0.133817587788063	-4.4796479788218	1	7.47662416641845e-06	1.57260809873078e-05
SMLT_RS17440	mazG	protein_coding	591.597561381754	-0.599599531550645	1.5152958868743744	Downregulated	-0.595708462485897	0.108679233086057	-5.51714908657715	1	3.44543135846636e-08	9.00001655435029e-08
SMLT_RS01845		protein_coding	662.27963673951	-0.600627302837352	1.5163757633738288	Downregulated	-0.597223348162109	0.101177702140467	-5.93636038505291	1	2.91418853240723e-09	8.2026271127909e-09
SMLT_RS18090		protein_coding	1434.07331084001	-0.602656726535073	1.5185103339433537	Downregulated	-0.598750422168145	0.108166602195014	-5.57156011472509	1	2.52468219107922e-08	6.64658172084713e-08
SMLT_RS07605		protein_coding	8690.41239544331	-0.60347800521847	1.5193750178661358	Downregulated	-0.599831226659421	0.10419174296358	-5.79199452906182	1	6.95554089466765e-09	1.89177065657546e-08
SMLT_RS18210		protein_coding	2577.45039151176	-0.603506401191688	1.519404923394116	Downregulated	-0.595109263273993	0.158605923544543	-3.80506848486146	1	0.000141764961029194	0.000261985274067689
SMLT_RS00065		protein_coding	77.6632527060039	-0.603849377824317	1.5197661794587687	Downregulated	-0.588445918015593	0.216684924213916	-2.78676230021514	1	0.00532375136166386	0.00817451057124988
SMLT_RS20870		protein_coding	246.709173522089	-0.604195984094658	1.520131345869043	Downregulated	-0.597016502959896	0.147213471338798	-4.1042166766393	1	4.05687107289361e-05	7.9453775184795e-05
SMLT_RS16675		protein_coding	1392.91537598099	-0.60505222203303	1.5210338099494725	Downregulated	-0.599076272071317	0.133713874016382	-4.52497713108589	1	6.04020367465762e-06	1.28080035854595e-05
SMLT_RS05470		protein_coding	1266.63472781782	-0.605934740342799	1.5219645339054002	Downregulated	-0.602619176160363	0.0993851521498167	-6.09683365407935	1	1.08189998020078e-09	3.14502510627174e-09
SMLT_RS15950		protein_coding	6524.61411492565	-0.606294380585989	1.522343982027947	Downregulated	-0.603257721444764	0.0948314040822121	-6.39339242578729	1	1.62245154491118e-10	5.00152540182488e-10
SMLT_RS07320		protein_coding	849.7823826974291	-0.6064100717232	1.5224660651871669	Downregulated	-0.597841932940026	0.159995983542571	-3.79015809207392	1	0.00015055143403918	0.000277229622830139
SMLT_RS04910		protein_coding	3640.58485731948	-0.60668679615765	1.5227581185711312	Downregulated	-0.604258339952958	0.084831233586925	-7.15169131114885	1	8.57151526494541e-13	3.08129997692851e-12
SMLT_RS18365		protein_coding	1117.42804650357	-0.607032565070512	1.5231231198394595	Downregulated	-0.603834146247413	0.0976626719487327	-6.2156047234625	1	5.11273609646359e-10	1.52522510584482e-09
SMLT_RS00550		protein_coding	505.676492664001	-0.610876829827409	1.527187108707015	Downregulated	-0.605485685949946	0.125247159194207	-4.87737074243887	1	1.07509252464436e-06	2.44319182342336e-06
SMLT_RS21275	dinG	protein_coding	2908.4825647908	-0.611147139227833	1.527473275703917	Downregulated	-0.60931033236223	0.0733465438824043	-8.33232360897166	1	7.92709131033531e-17	3.71326051242317e-16
SMLT_RS16795		protein_coding	1686.12151875297	-0.612718222013463	1.5291375873216146	Downregulated	-0.609485654113794	0.0973784546830323	-6.29213334723647	1	3.13132304124446e-10	9.4622268467033e-10
SMLT_RS16405		protein_coding	6133.36315148048	-0.613108697683543	1.5295515152952228	Downregulated	-0.610069024303797	0.0943564914862522	-6.49779032715384	1	8.15082932072083e-11	2.57345757058488e-10
SMLT_RS20580		protein_coding	364.831905416743	-0.613622632022227	1.5300964877640615	Downregulated	-0.600853431652266	0.194709114369349	-3.15148386355571	1	0.00162443138257845	0.00265218167578874
SMLT_RS18420		protein_coding	204.88790448941	-0.614160514631113	1.5306670627705645	Downregulated	-0.602088238876039	0.189370185689712	-3.24317427473737	1	0.0011820588366297	0.00196096222860484
SMLT_RS21785		protein_coding	1221.401659077	-0.61461729478618	1.5311517729938846	Downregulated	-0.608029861022483	0.139155009318879	-4.41678167242805	1	1.00181327509685e-05	2.07181523931451e-05
SMLT_RS04185		protein_coding	42588.7326298721	-0.61498284260052	1.5315397829913435	Downregulated	-0.610964037445461	0.108244856770217	-5.68140474245357	1	1.33592913464388e-08	3.56569292495804e-08
SMLT_RS07010		protein_coding	12968.7430500751	-0.615931225788274	1.5325469009580213	Downregulated	-0.612681642237013	0.09732427004864	-6.32864983709047	1	2.4731562811016e-10	7.51947996090931e-10
SMLT_RS03530		protein_coding	640.86076127459	-0.616368979592319	1.5330119888723819	Downregulated	-0.604143717154458	0.190216830285516	-3.24034933537242	1	0.00119383343097108	0.00197901535866507
SMLT_RS20735		protein_coding	849.890084079141	-0.616587012273628	1.5332436885478873	Downregulated	-0.610214873445683	0.136296993767719	-4.52384895094922	1	6.07250697461849e-06	1.28686330131337e-05
SMLT_RS15505		protein_coding	103.874290580739	-0.617201508694084	1.5338968920406195	Downregulated	-0.601928949220138	0.215594917572607	-2.86278320306984	1	0.00419937788299735	0.0065111640297016
SMLT_RS21880	rsmG	protein_coding	765.578307696508	-0.618344443048906	1.535112559959027	Downregulated	-0.612348799020681	0.132344594306895	-4.67223044724457	1	2.97946396578998e-06	6.50758353138571e-06
SMLT_RS10675	greA	protein_coding	5740.61644286206	-0.618389348008262	1.53516034222623	Downregulated	-0.613306230132291	0.12161849426808	-5.08466538522641	1	3.68274747816878e-07	8.74553951453785e-07
SMLT_RS08350	miaA	protein_coding	427.867013131893	-0.618667693647166	1.5354565561853633	Downregulated	-0.611934485840622	0.1402354214512	-4.41163642712376	1	1.02592279505259e-05	2.11871206650525e-05
SMLT_RS06155	tesB	protein_coding	1545.90486758232	-0.619338433816656	1.5361705891641213	Downregulated	-0.615937413825474	0.0994468959301503	-6.22783072336081	1	4.72937646500015e-10	1.41466716107489e-09
SMLT_RS02035		protein_coding	84.6900651481562	-0.61944605085689	1.5362851832352697	Downregulated	-0.60701235629339	0.189731932356813	-3.2648486902666	1	0.00109522565752174	0.00182578768010765
SMLT_RS15865		protein_coding	487.24569322473	-0.619756924047794	1.5366162589809762	Downregulated	-0.615982232665702	0.105500727067826	-5.87443272925841	1	4.24293727728653e-09	1.17415282358347e-08
SMLT_RS07750		protein_coding	352.119170469226	-0.619881949974975	1.5367494300197968	Downregulated	-0.615001071796168	0.119596866987846	-5.18309522303767	1	2.18233547076181e-07	5.29876308062363e-07
SMLT_RS18380	hemW	protein_coding	1585.26496331279	-0.621693643991059	1.538680446975884	Downregulated	-0.619349374945609	0.0826152448495225	-7.52516857056378	1	5.26523493900177e-14	2.05062179011517e-13
SMLT_RS11585		protein_coding	858.435693642178	-0.621926116258548	1.5389284060686532	Downregulated	-0.612297230582791	0.16806813105922	-3.70044048409992	1	0.000215225553839507	0.000389372168365438
SMLT_RS11650		protein_coding	496.00768389646	-0.621970568411729	1.5389758240836968	Downregulated	-0.605023047230587	0.223729262779469	-2.78001438294108	1	0.00543564908872387	0.00834156906472115
SMLT_RS09735		protein_coding	989.509442825611	-0.622303798234175	1.5393313336383736	Downregulated	-0.61940010866127	0.0918760698088917	-6.77329580519289	1	1.25881200712549e-11	4.16412383565151e-11
SMLT_RS00460		protein_coding	3313.95560168047	-0.624800466071335	1.5419975425608874	Downregulated	-0.623123950981738	0.0694887718942613	-8.99138737150331	1	2.44128978098412e-19	1.3536951835557e-18
SMLT_RS15045	kynU	protein_coding	1342.15548137168	-0.625395239585946	1.5426333861386212	Downregulated	-0.623138887481897	0.0808872137200174	-7.73169467489246	1	1.06124230725104e-14	4.35089729664105e-14
SMLT_RS05410		protein_coding	826.59961671221	-0.627094708965045	1.544451651862626	Downregulated	-0.614057278659599	0.194713956329563	-3.22059456233151	1	0.00127924981905328	0.00211428919423262
SMLT_RS10425		protein_coding	395.984933486365	-0.627384261419744	1.5447616582287225	Downregulated	-0.615040973026646	0.193344503394823	-3.24490352921273	1	0.00117490419524558	0.00195055202474153
SMLT_RS18435		protein_coding	949.314039259756	-0.628920737431949	1.5464077119696173	Downregulated	-0.625942696396194	0.0926665121018373	-6.78692575307881	1	1.14548119617469e-11	3.79488766708807e-11
SMLT_RS19785		protein_coding	1102.47498625751	-0.629707278409381	1.54725102578099	Downregulated	-0.621413561270924	0.154730983347313	-4.06969092283169	1	4.70755482621098e-05	9.18417248685424e-05
SMLT_RS22000	tatA	protein_coding	304.192191068559	-0.629724680015894	1.5472696886412243	Downregulated	-0.621902162922476	0.149509526746233	-4.21193681580403	1	2.53190373071618e-05	5.02304335843335e-05
SMLT_RS07620		protein_coding	1214.28497444579	-0.630206845233865	1.5477868903275978	Downregulated	-0.624217380700316	0.131267784333007	-4.80092543982554	1	1.57934067755953e-06	3.51704580605124e-06
SMLT_RS15565	ccmB	protein_coding	213.570023964108	-0.63156856024394	1.5492484879378678	Downregulated	-0.624450126152366	0.143864717230408	-4.39001704102643	1	1.13341778315915e-05	2.32770429911758e-05
SMLT_RS20285		protein_coding	237.485507639157	-0.631813683174028	1.5495117373297012	Downregulated	-0.620905506060094	0.177234008389606	-3.5648558023082	1	0.000364056283811261	0.000639839015446416
SMLT_RS05260		protein_coding	313.245158029732	-0.632593654181162	1.5503496836409707	Downregulated	-0.622023494300161	0.174270159380274	-3.6299596926447	1	0.00028346548150951	0.000504798424719464
SMLT_RS06585		protein_coding	5244.57365756089	-0.633190074323949	1.5509907414599837	Downregulated	-0.631451010839887	0.0702342028983975	-9.01540913392208	1	1.96136964299024e-19	1.09717979020236e-18
SMLT_RS00455	ttcA	protein_coding	1746.90801424683	-0.633941584146053	1.5517988737238784	Downregulated	-0.630554163416297	0.098141267729507	-6.45948028604335	1	1.05063171392435e-10	3.28906300844631e-10
SMLT_RS14940	mtnA	protein_coding	1607.27456193833	-0.636200710543671	1.5542307501365458	Downregulated	-0.632860282818343	0.0972640822522548	-6.54096245820406	1	6.11241754255593e-11	1.94092227765055e-10
SMLT_RS09690		protein_coding	932.433407970638	-0.636527321874116	1.554582651837255	Downregulated	-0.628566536354665	0.150383920974595	-4.23268204305995	1	2.30920862604233e-05	4.59768826980421e-05
SMLT_RS15775		protein_coding	3449.38414800749	-0.638730868011314	1.5569589073369208	Downregulated	-0.636609876881208	0.0772827717566692	-8.26485455286734	1	1.39865167060299e-16	6.44280250342145e-16
SMLT_RS04270	nusG	protein_coding	22604.5241172335	-0.638846627995712	1.557083840718377	Downregulated	-0.632800104673996	0.130426900501171	-4.89812013887409	1	9.67578725751068e-07	2.21132366173711e-06
